# Public-safe LLMWave broad corpus seed.
# Format: domain|route|subject|relation|object|evidence
# This file intentionally excludes user/private business data, local correspondence,
# customs folders, contract files, and customer-specific facts.
finance|rate_fact|central rate|describes|policy benchmark|public-safe synthetic finance route fact 061
finance|rate_fact|policy benchmark|does_not_equal|deposit offer|public-safe synthetic finance route fact 062
finance|rate_fact|market headline|requires|source timestamp|public-safe synthetic finance route fact 063
finance|source_timestamp|current source|overrides|old source|public-safe synthetic finance route fact 064
finance|source_timestamp|archive source|must_not_override|current source|public-safe synthetic finance route fact 065
finance|source_timestamp|timestamp mismatch|causes|evidence conflict|public-safe synthetic finance route fact 066
finance|payer_beneficiary|payer identity|must_match|payment route|public-safe synthetic finance route fact 067
finance|payer_beneficiary|beneficiary identity|must_match|invoice route|public-safe synthetic finance route fact 068
finance|payer_beneficiary|third party payer|requires|extra evidence|public-safe synthetic finance route fact 069
finance|product_boundary|deposit product|has|own rate terms|public-safe synthetic finance route fact 070
finance|product_boundary|loan product|has|different rate terms|public-safe synthetic finance route fact 071
finance|product_boundary|product family|must_not_merge|rate conclusion|public-safe synthetic finance route fact 072
dialogue|accepted_correction|user correction|updates|route memory|public-safe synthetic dialogue route fact 073
dialogue|accepted_correction|accepted correction|reinforces|future answer|public-safe synthetic dialogue route fact 074
dialogue|accepted_correction|accepted correction|does_not_generalize_to|unrelated route|public-safe synthetic dialogue route fact 075
dialogue|rejected_answer|rejected answer|creates|negative shortcut|public-safe synthetic dialogue route fact 076
dialogue|rejected_answer|negative shortcut|suppresses|future false answer|public-safe synthetic dialogue route fact 077
dialogue|rejected_answer|rejection|does_not_delete|valid neighboring fact|public-safe synthetic dialogue route fact 078
dialogue|route_memory_update|feedback packet|records|decision route|public-safe synthetic dialogue route fact 079
dialogue|route_memory_update|decision route|guides|next field pass|public-safe synthetic dialogue route fact 080
dialogue|route_memory_update|feedback packet|requires|local scope|public-safe synthetic dialogue route fact 081
dialogue|followup_uses_correction|follow-up question|uses|accepted correction|public-safe synthetic dialogue route fact 082
dialogue|followup_uses_correction|follow-up answer|must_preserve|corrected route|public-safe synthetic dialogue route fact 083
dialogue|followup_uses_correction|follow-up answer|must_not_import|old rejected route|public-safe synthetic dialogue route fact 084
adversarial|same_name_different_route|same surface name|may_belong_to|different route|public-safe synthetic adversarial route fact 085
adversarial|same_name_different_route|namespace label|separates|same-name entities|public-safe synthetic adversarial route fact 086
adversarial|same_name_different_route|lexical equality|does_not_prove|route equality|public-safe synthetic adversarial route fact 087
adversarial|old_fact_vs_current_fact|old fact|must_not_override|current fact|public-safe synthetic adversarial route fact 088
adversarial|old_fact_vs_current_fact|current fact|requires|fresh evidence|public-safe synthetic adversarial route fact 089
adversarial|old_fact_vs_current_fact|stale source|creates|temporal trap|public-safe synthetic adversarial route fact 090
adversarial|lexical_match_wrong_role|word overlap|may_hide|role swap|public-safe synthetic adversarial route fact 091
adversarial|lexical_match_wrong_role|role label|protects|subject object direction|public-safe synthetic adversarial route fact 092
adversarial|lexical_match_wrong_role|lexical match|does_not_prove|causal route|public-safe synthetic adversarial route fact 093
adversarial|route_splice|candidate answer|pulls_from|foreign route|public-safe synthetic adversarial route fact 094
adversarial|route_splice|foreign pull|requires|route split|public-safe synthetic adversarial route fact 095
adversarial|route_splice|route splice|must_not_receive|PASS verdict|public-safe synthetic adversarial route fact 096
